# tri-to-quad-uv-map v1 profile=face uv_layer=UVMap uv_precision=4 joins=2116 source=Face.only result=Face.only.quad
u1,v1,u2,v2
0.2278,0.1197,0.2625,0.0943
0.1905,0.1351,0.2244,0.1066
0.1568,0.1524,0.1863,0.1229
0.1292,0.1696,0.1516,0.141
0.2711,0.1214,0.3035,0.0996
0.3083,0.1132,0.3382,0.0928
0.2331,0.1323,0.2661,0.1082
0.1969,0.1471,0.2278,0.1197
0.1645,0.1639,0.1905,0.1351
0.1377,0.181,0.1568,0.1524
0.1156,0.1986,0.1292,0.1696
0.0969,0.2165,0.1065,0.1869
0.315,0.1277,0.3418,0.1066
0.2791,0.1363,0.3083,0.1132
0.2424,0.1476,0.2711,0.1214
0.2081,0.1621,0.2331,0.1323
0.1777,0.1788,0.1969,0.1471
0.1525,0.1963,0.1645,0.1639
0.3469,0.121,0.3745,0.1024
0.081,0.2354,0.0879,0.2044
0.1314,0.2144,0.1377,0.181
0.1065,0.1869,0.1233,0.1588
0.0524,0.2357,0.0623,0.2072
0.0297,0.2346,0.0577,0.2008
0.0297,0.262,0.0383,0.2334
0.9423,0.8838,0.9683,0.8918
0.0464,0.2631,0.0524,0.2357
0.0388,0.2589,0.0461,0.2334
0.0588,0.2425,0.0666,0.2139
0.0879,0.2044,0.1006,0.1766
0.0723,0.2227,0.0822,0.1946
0.0464,0.2631,0.0671,0.2558
0.0671,0.2558,0.0723,0.2227
0.081,0.2354,0.0834,0.2751
0.0969,0.2165,0.0977,0.2529
0.1135,0.233,0.1156,0.1986
0.0977,0.2529,0.1141,0.3
0.0542,0.277,0.0834,0.2751
0.1314,0.2144,0.1418,0.2559
0.0834,0.2751,0.0998,0.3178
0.0588,0.2965,0.0847,0.3299
0.0517,0.3433,0.0847,0.3299
0.0463,0.3762,0.0817,0.417
0.0463,0.3762,0.0892,0.3536
0.158,0.237,0.1753,0.2799
0.1141,0.3,0.1347,0.3519
0.1998,0.2007,0.2055,0.2425
0.1275,0.2764,0.1516,0.3241
0.1998,0.2007,0.2081,0.1621
0.1418,0.2559,0.1632,0.3003
0.1525,0.1963,0.158,0.237
0.177,0.2186,0.189,0.2612
0.177,0.2186,0.1777,0.1788
0.2272,0.1838,0.2424,0.1476
