# tri-to-quad-uv-map v1 profile=rabbitear uv_layer=UVMap uv_precision=4 joins=518 source=RabbitEar.NormalSrc result=RabbitEar
u1,v1,u2,v2
0.1459,0.2897,0.1995,0.2654
0.0197,0.4635,0.0278,0.4263
0.0795,0.5594,0.1034,0.5048
0.2479,0.3783,0.2689,0.4073
0.0965,0.3425,0.1459,0.3166
0.0614,0.4595,0.0983,0.4252
0.1459,0.2633,0.1977,0.2318
0.0964,0.3151,0.1459,0.2897
0.1459,0.0185,0.1843,0.0758
0.0968,0.3702,0.1459,0.3438
0.1459,0.4588,0.1927,0.5073
0.0411,0.5092,0.0444,0.5674
0.0966,0.2881,0.1459,0.2633
0.1459,0.3989,0.1988,0.4287
0.1858,0.5595,0.2012,0.6168
0.1459,0.3714,0.1997,0.4018
0.0971,0.2616,0.1459,0.2306
0.1459,0.6098,0.165,0.6565
0.0554,0.5633,0.0849,0.615
0.1459,0.3438,0.2007,0.3197
0.1016,0.1825,0.1459,0.1316
0.165,0.6565,0.169,0.6852
0.1147,0.6569,0.1186,0.6109
0.0512,0.5075,0.0614,0.4595
0.1186,0.6109,0.1459,0.5566
0.0291,0.5122,0.0323,0.4614
0.1459,0.6546,0.1578,0.6819
0.043,0.4602,0.0579,0.4254
0.1283,0.6555,0.1459,0.6098
0.1459,0.4258,0.1968,0.4617
0.1076,0.6941,0.1276,0.6947
0.0902,0.6683,0.1139,0.6872
0.0692,0.0711,0.0721,0.0185
0.1375,0.6963,0.1459,0.7133
0.1349,0.6811,0.1459,0.6546
0.1578,0.6819,0.1633,0.6954
0.0822,0.0724,0.1158,0.0185
0.1755,0.6124,0.1821,0.6605
0.058,0.1244,0.0615,0.07
0.1261,0.681,0.1283,0.6555
0.2478,0.2954,0.2712,0.3244
0.1995,0.2654,0.2428,0.2325
0.1459,0.6807,0.1545,0.6963
0.0193,0.2223,0.0388,0.1769
0.1561,0.7113,0.1633,0.6954
0.1459,0.7133,0.1545,0.6963
0.073,0.1261,0.1107,0.0751
0.1349,0.6811,0.1459,0.6963
0.1276,0.6947,0.1353,0.7122
0.0482,0.1783,0.073,0.1261
0.1633,0.6954,0.1793,0.691
0.0986,0.6629,0.1178,0.6799
0.1139,0.6872,0.1261,0.681
0.0766,0.618,0.0902,0.6683
0.0311,0.2243,0.0373,0.259
0.1276,0.6947,0.1349,0.6811
0.0119,0.3122,0.0253,0.2855
0.1147,0.6569,0.1178,0.6799
0.0795,0.5594,0.0849,0.615
0.1843,0.0758,0.2278,0.1286
0.1793,0.691,0.1821,0.6605
0.0358,0.2861,0.0561,0.2599
0.0766,0.618,0.1032,0.6534
0.0482,0.1783,0.059,0.2265
0.0967,0.613,0.1032,0.6534
0.1949,0.6662,0.2012,0.6168
0.2003,0.2924,0.2462,0.2674
0.0253,0.2855,0.035,0.3135
0.0967,0.613,0.1094,0.5574
0.015,0.2566,0.0311,0.2243
0.065,0.1797,0.1059,0.1292
0.0554,0.5633,0.0666,0.6229
0.0388,0.1769,0.041,0.2254
0.035,0.3135,0.0549,0.2868
0.2177,0.0736,0.2253,0.0185
0.0243,0.313,0.035,0.3412
0.0126,0.3984,0.0244,0.3693
0.0241,0.3409,0.0354,0.3693
0.2168,0.6223,0.22,0.5639
0.041,0.2254,0.0561,0.2599
0.2177,0.0736,0.2477,0.1263
0.2462,0.2674,0.2704,0.296
0.2278,0.1286,0.2573,0.1822
0.2329,0.5114,0.2383,0.5686
0.0682,0.5063,0.1,0.4587
0.1898,0.1306,0.2365,0.1839
0.0549,0.2868,0.0971,0.2616
0.2365,0.1839,0.2645,0.2314
0.4323,0.3802,0.468,0.3519
0.3881,0.0747,0.4097,0.0203
0.3491,0.2364,0.3881,0.2705
0.4448,0.1312,0.4513,0.0753
0.4683,0.3802,0.4875,0.352
0.3617,0.673,0.3658,0.6271
0.2888,0.3268,0.3126,0.3541
0.4318,0.3238,0.4656,0.2962
0.4039,0.698,0.4248,0.6773
0.3881,0.3804,0.4322,0.3517
0.3881,0.3519,0.4318,0.3238
0.2888,0.3547,0.313,0.3817
0.4108,0.628,0.4136,0.674
0.3126,0.3264,0.346,0.353
0.3486,0.4694,0.3881,0.4358
0.3881,0.6718,0.3951,0.696
0.468,0.4085,0.488,0.3803
0.3658,0.6271,0.3881,0.5722
0.4669,0.4366,0.4834,0.4726
0.3751,0.6718,0.3881,0.6273
0.468,0.4085,0.4865,0.4373
0.3881,0.6273,0.4007,0.6723
0.4446,0.6323,0.4487,0.5748
0.4529,0.1861,0.4604,0.1302
0.3881,0.4358,0.4298,0.4703
0.3881,0.5722,0.4108,0.628
0.4322,0.3517,0.4671,0.3239
0.2894,0.3822,0.3138,0.409
0.3616,0.0753,0.3881,0.1298
0.3881,0.6957,0.3937,0.7086
0.3138,0.409,0.3461,0.3811
0.3607,0.7022,0.3617,0.673
0.3881,0.3804,0.432,0.4086
0.4211,0.5733,0.4309,0.6296
0.3713,0.6979,0.3751,0.6718
0.4006,0.7073,0.4131,0.7022
0.3461,0.3811,0.3881,0.4087
0.3961,0.7215,0.4006,0.7073
0.3126,0.3541,0.3461,0.3811
0.2905,0.4094,0.315,0.436
0.3607,0.7022,0.3748,0.7074
0.295,0.4706,0.315,0.436
0.4277,0.2355,0.4529,0.1861
0.4007,0.6723,0.4039,0.698
0.3881,0.2705,0.4277,0.2355
0.3881,0.7089,0.3961,0.7215
0.3807,0.6959,0.3881,0.6718
0.315,0.436,0.3466,0.4089
0.4313,0.4361,0.4643,0.4715
0.3951,0.696,0.4006,0.7073
0.3748,0.7074,0.3799,0.7217
0.3008,0.5186,0.3176,0.4698
0.2895,0.2987,0.3126,0.3264
0.3824,0.7087,0.3881,0.6957
0.3471,0.4358,0.3881,0.4087
0.3748,0.7074,0.3807,0.6959
0.3176,0.4698,0.3471,0.4358
0.4323,0.3802,0.468,0.4085
0.4656,0.2962,0.4819,0.2679
0.3824,0.7087,0.3881,0.7232
