# tri-to-quad-uv-map v1 profile=eyewhite uv_layer=UVMap uv_precision=4 joins=264 source=EyeWhite result=EyeWhite.Quad
u1,v1,u2,v2
0.3016,0.52,0.3413,0.499
0.3016,0.52,0.3173,0.5875
0.3413,0.499,0.374,0.5793
0.8164,0.5058,0.8342,0.5551
0.6951,0.4927,0.711,0.5411
0.711,0.5411,0.741,0.5634
0.7565,0.4719,0.7591,0.5656
0.6951,0.4474,0.6951,0.4927
0.4355,0.4549,0.4537,0.5344
0.2654,0.3355,0.2751,0.3941
0.2413,0.3761,0.2654,0.3355
0.4322,0.308,0.4695,0.3626
0.2261,0.3827,0.2399,0.3183
0.3491,0.4632,0.3873,0.5111
0.2104,0.3876,0.2159,0.3246
0.1736,0.3679,0.2104,0.3876
0.1907,0.3367,0.2026,0.2527
0.2362,0.7444,0.2976,0.7975
