# tri-to-quad-uv-map v1 profile=rabbittail uv_layer=UVMap uv_precision=4 joins=751 source=RabbitTail.NormalSrc result=RabbitTail
u1,v1,u2,v2
0.3903,0.8209,0.4289,0.8419
0.328,0.6256,0.3282,0.6321
0.372,0.7021,0.4034,0.7073
0.3942,0.6907,0.4287,0.6902
0.3503,0.7248,0.372,0.7021
0.3246,0.7429,0.3503,0.7248
0.2781,0.9152,0.2998,0.8868
0.4179,0.7421,0.4654,0.7481
0.388,0.8558,0.4289,0.8419
0.352,0.741,0.3773,0.7189
0.3546,0.8355,0.3903,0.8209
0.1759,0.8771,0.2305,0.8859
0.3246,0.7907,0.3544,0.7739
0.2676,0.7354,0.2959,0.7569
0.3846,0.8749,0.4254,0.8637
0.2733,0.9501,0.2781,0.9152
0.299,0.7248,0.3246,0.7429
0.2299,0.954,0.2407,0.908
0.3246,0.7753,0.3534,0.7569
0.385,0.7521,0.4235,0.7622
0.4273,0.7817,0.4801,0.7954
0.2949,0.7739,0.3246,0.7907
0.1691,0.7954,0.2219,0.7817
0.3877,0.7702,0.4273,0.7817
0.355,0.7897,0.3877,0.7702
0.2943,0.7897,0.3246,0.8054
0.3475,0.6278,0.3539,0.6415
0.4301,0.8209,0.4803,0.8489
0.3246,0.642,0.3282,0.6321
0.3013,0.7082,0.3246,0.7269
0.3539,0.6415,0.3717,0.6403
0.3903,0.8039,0.4301,0.8209
0.3312,0.6409,0.3318,0.63
0.3246,0.7586,0.352,0.741
0.2599,0.7873,0.2941,0.8049
0.2941,0.8049,0.3246,0.8209
0.3551,0.8209,0.3903,0.8039
0.3364,0.624,0.3438,0.6334
0.2834,0.6862,0.3013,0.7082
0.3599,0.9367,0.3945,0.9297
0.3305,0.6225,0.3346,0.627
0.335,0.6519,0.3384,0.6381
0.3382,0.6629,0.3456,0.6481
0.2493,0.6613,0.2753,0.6625
0.1667,0.8209,0.2203,0.8419
0.3456,0.6481,0.363,0.6503
0.2191,0.8209,0.2595,0.8377
0.3246,0.8209,0.3552,0.8049
0.3739,0.6625,0.3999,0.6613
0.2972,0.741,0.3246,0.7586
0.4254,0.8637,0.4803,0.8489
0.3246,0.8347,0.3551,0.8209
0.2753,0.6625,0.2834,0.6862
0.3544,0.7739,0.385,0.7521
0.2238,0.8637,0.2647,0.8749
0.2647,0.8749,0.2957,0.8517
0.1879,0.9052,0.2407,0.908
0.3246,0.7269,0.3479,0.7082
0.2957,0.8517,0.3246,0.8347
0.2305,0.8859,0.2701,0.8947
0.4295,0.8012,0.4825,0.8209
0.2547,0.9297,0.2701,0.8947
0.3349,0.953,0.3599,0.9367
0.2547,0.9297,0.2593,0.9709
0.2701,0.8947,0.2974,0.8687
0.4187,0.8859,0.4733,0.8771
0.3894,0.7873,0.4295,0.8012
0.3519,0.8687,0.3791,0.8947
0.2894,0.9367,0.2968,0.9683
0.4235,0.7622,0.4741,0.7711
